id,name,year,campaign,parentCampaign,officialUrl,spaRoot,projectSlug,routeCount,stateCount,fileCount,assetCount,apiCount,fixtureCount,status,quality,localReplay,screenshot,currentReleaseVerified
yalla-8th-anniversary-2024,8th Anniversary · Explore the Yalla World,2024,Yalla 8th Anniversary 2024,,https://activity2.yalla.live/activity/2024dist/8thAnniversary/,/activity/2024dist/8thAnniversary/,8thAnniversary,0,0,31,0,,,OFFICIAL_URL_EXPIRED,C,False,False,False
yalla-9th-anniversary-2025,9th Anniversary · Starlight Gala,2025,Yalla 9th Anniversary 2025,,https://activity2.yalla.live/activity/2025dist/9thAnniversary/,/activity/2025dist/9thAnniversary/,9thAnniversary,8,1,14,9,2,2,OFFICIAL_URL_EXPIRED,C,True,True,False
yalla-season-2026,Yalla Season · Four Surprises,2026,Yalla Season 2026,,https://activity2.yalla.live/activity/2025dist/yallaSeason/,/activity/2025dist/yallaSeason/,yallaSeason,0,0,22,0,,,OFFICIAL_URL_EXPIRED,C,False,False,False
yalla-10th-anniversary-2026,10th Anniversary · Crowned with Honor,2026,Yalla 10th Anniversary 2026,,https://activity2.yalla.live/activity/2026dist/10thAnniversary/,/activity/2026dist/10thAnniversary/,10thAnniversary,0,0,19,0,,,OFFICIAL_URL_EXPIRED,C,False,False,False
yalla-ramadan-kareem-2026,Ramadan Kareem 2026,2026,Yalla Ramadan 2026,,https://activity2.yalla.live/activity/2026dist/Ramadan/,/activity/2026dist/Ramadan/,Ramadan,0,0,9,0,,,OFFICIAL_URL_EXPIRED,C,False,False,False
yalla-sheep-farm-2026,Sheep Farm · Eid al-Adha,2026,Yalla Sheep Farm 2026,,https://activity2.yalla.live/activity/2024dist/adha/,/activity/2024dist/adha/,adha,0,0,18,0,,,OFFICIAL_URL_EXPIRED,C,False,False,False
yalla-super-roller-coaster-2024,Super Roller Coaster,2024,Yalla WonderLand / New Year 2025,Yalla WonderLand / New Year 2025,https://activity2.yalla.live/activity/2024dist/rollerCoaster/,/activity/2024dist/rollerCoaster/,rollerCoaster,0,0,57,0,,,OFFICIAL_URL_EXPIRED,C,False,False,False
yalla-wonderland-new-year-2025,WonderLand · New Year Carnival,2025,Yalla WonderLand / New Year 2025,,https://activity2.yalla.live/activity/2024dist/2025NewYear/,/activity/2024dist/2025NewYear/,2025NewYear,0,0,37,0,,,OFFICIAL_URL_EXPIRED,C,False,False,False
