id,name,year,campaign,parentCampaign,officialUrl,spaRoot,projectSlug,routeCount,stateCount,fileCount,assetCount,apiCount,fixtureCount,status,quality,localReplay,screenshot,currentReleaseVerified
yalla-magic-lamp-2021,Magic Lamp 2021,2021,Yalla Magic Lamp 2021,,https://activity2.yalla.live/activity/2021dist/MagicLamp/,/activity/2021dist/MagicLamp/,MagicLamp,1,1,6,2,0,0,OFFICIAL_URL_EXPIRED,C,True,True,False
yalla-beat-pinata-2021,Beat Piñata 2021,2021,Yalla Beat Piñata 2021,,https://activity2.yalla.live/activity/2021dist/beatPinata/,/activity/2021dist/beatPinata/,beatPinata,1,1,6,1,0,0,OFFICIAL_URL_EXPIRED,C,True,True,False
yalla-lucky-card-2021,Lucky Card 2021,2021,Yalla Lucky Card 2021,,https://activity2.yalla.live/activity/YallaActivity2021/Yalla01/LuckyCard/Dist/,/activity/YallaActivity2021/Yalla01/LuckyCard/Dist/,Yalla01/LuckyCard/Dist,0,0,3,0,,,OFFICIAL_URL_EXPIRED,C,False,False,False
yalla-national-day-replacement-2020,National Day Replacement 2020,2020,Yalla National Day 2020,,https://activity2.yalla.live/activity/YallaActivity2020/NationalDayReplacement/dist/,/activity/YallaActivity2020/NationalDayReplacement/dist/,NationalDayReplacement/dist,0,0,3,0,,,OFFICIAL_URL_EXPIRED,C,False,False,False
yalla-turkey-fathers-day-2020,Turkey Father's Day 2020,2020,Yalla Turkey Father's Day 2020,,https://activity2.yalla.live/activity/YallaActivity2020/TurkeyFatherDay/build/,/activity/YallaActivity2020/TurkeyFatherDay/build/,TurkeyFatherDay/build,0,0,3,0,,,OFFICIAL_URL_EXPIRED,C,False,False,False
yalla-national-day-2021,National Day 2021,2021,Yalla National Day 2021,,https://activity2.yalla.live/activity/YallaActivity2021/Yalla02/NationalDay/dist/,/activity/YallaActivity2021/Yalla02/NationalDay/dist/,Yalla02/NationalDay/dist,1,1,5,1,0,0,OFFICIAL_URL_EXPIRED,C,True,True,False
yalla-morocco-national-day-2020,Morocco National Day 2020,2020,Yalla Morocco National Day 2020,,https://activity2.yalla.live/activity/YallaActivity2020/NationalDayMorocco/dist/,/activity/YallaActivity2020/NationalDayMorocco/dist/,NationalDayMorocco/dist,0,0,3,0,,,OFFICIAL_URL_EXPIRED,C,False,False,False
yalla-national-day-template-2021,National Day Template 2021,2021,Yalla National Day Template 2021,,https://activity2.yalla.live/activity/YallaActivity2021/Yalla03/NationalDayTemplate/dist/,/activity/YallaActivity2021/Yalla03/NationalDayTemplate/dist/,Yalla03/NationalDayTemplate/dist,1,1,3,0,0,0,OFFICIAL_URL_EXPIRED,C,True,True,False
