id,name,year,campaign,parentCampaign,officialUrl,spaRoot,projectSlug,routeCount,stateCount,fileCount,assetCount,apiCount,fixtureCount,status,quality,localReplay,screenshot,currentReleaseVerified
"yalla-8th-anniversary-2024","8th Anniversary · Explore the Yalla World",2024,"Yalla 8th Anniversary 2024","","https://activity2.yalla.live/activity/2024dist/8thAnniversary/","/activity/2024dist/8thAnniversary/","8thAnniversary",7,2,89,86,1,1,"VERIFIED_PARTIAL_SPA","B+",true,true,false
"yalla-9th-anniversary-2025","9th Anniversary · Starlight Gala",2025,"Yalla 9th Anniversary 2025","","https://activity2.yalla.live/activity/2025dist/9thAnniversary/","/activity/2025dist/9thAnniversary/","9thAnniversary",14,4,99,80,0,0,"VERIFIED_PARTIAL_SPA","B+",true,true,false
"yalla-season-2026","Yalla Season · Four Surprises",2026,"Yalla Season 2026","","https://activity2.yalla.live/activity/2025dist/yallaSeason/","/activity/2025dist/yallaSeason/","yallaSeason",12,6,25,19,0,0,"VERIFIED_PARTIAL_SPA","B+",true,true,false
"yalla-10th-anniversary-2026","10th Anniversary · Crowned with Honor",2026,"Yalla 10th Anniversary 2026","","https://activity2.yalla.live/activity/2026dist/10thAnniversary/","/activity/2026dist/10thAnniversary/","10thAnniversary",16,1,15,14,0,0,"VERIFIED_PARTIAL_SPA","B+",true,true,false
"yalla-ramadan-kareem-2026","Ramadan Kareem 2026",2026,"Yalla Ramadan 2026","","https://activity2.yalla.live/activity/2026dist/Ramadan/","/activity/2026dist/Ramadan/","Ramadan",8,8,17,16,0,0,"VERIFIED_PARTIAL_SPA","B+",true,true,false
"yalla-sheep-farm-2026","Sheep Farm · Eid al-Adha",2026,"Yalla Sheep Farm 2026","","https://activity2.yalla.live/activity/2024dist/adha/","/activity/2024dist/adha/","adha",9,1,15,14,0,0,"VERIFIED_PARTIAL_SPA","B+",true,true,false
"yalla-super-roller-coaster-2024","Super Roller Coaster",2024,"Yalla WonderLand / New Year 2025","Yalla WonderLand / New Year 2025","https://activity2.yalla.live/activity/2024dist/rollerCoaster/","/activity/2024dist/rollerCoaster/","rollerCoaster",6,6,55,49,0,0,"VERIFIED_PARTIAL_SPA","B+",true,true,false
"yalla-wonderland-new-year-2025","WonderLand · New Year Carnival",2025,"Yalla WonderLand / New Year 2025","","https://activity2.yalla.live/activity/2024dist/2025NewYear/","/activity/2024dist/2025NewYear/","2025NewYear",6,5,38,37,0,0,"VERIFIED_PARTIAL_SPA","B+",true,true,false
