id,name,year,campaign,parentCampaign,officialUrl,spaRoot,projectSlug,routeCount,stateCount,fileCount,assetCount,apiCount,fixtureCount,status,quality,localReplay,screenshot,currentReleaseVerified
yalla-sea-dominator-2024,Sea Dominator,2024,Yalla WonderLand / New Year 2025,Yalla WonderLand / New Year 2025,https://activity2.yalla.live/activity/2024dist/seaDominator/,/activity/2024dist/seaDominator/,seaDominator,0,0,69,0,,,OFFICIAL_URL_EXPIRED,C,False,False,False
yalla-royal-victory-2025,Royal Victory,2025,Yalla Royal Victory 2025,,https://activity2.yalla.live/activity/2025dist/RoyalVictory/,/activity/2025dist/RoyalVictory/,RoyalVictory,0,0,29,0,,,OFFICIAL_URL_EXPIRED,C,False,False,False
yalla-happy-ferris-wheel-2025,Happy Ferris Wheel · Castle Edition,2025,Yalla WonderLand / New Year 2025,Yalla WonderLand / New Year 2025,https://activity2.yalla.live/activity/2024dist/ferrisWheel/,/activity/2024dist/ferrisWheel/,ferrisWheel,0,0,74,0,,,OFFICIAL_URL_EXPIRED,C,False,False,False
